Hour,Minute,Second,Latitude_deg,Latitude_min,Longitude_deg,Longitude_min,Status,SVs_Used,HDOP,Altitude_mamsl,Geoid_Sep,Age_of_DGNSS_Corr,DGNSS_Ref_Station
13,19,29.00,47,02.62904,008,16.80486,2,08,1.10,639.4,47.3,48.2,0199
13,19,30.00,47,02.62904,008,16.80489,2,08,1.10,639.5,47.3,48.6,0199
13,19,31.00,47,02.62905,008,16.80492,2,08,1.10,639.5,47.3,48.4,0199
13,19,32.00,47,02.62905,008,16.80495,2,08,1.10,639.6,47.3,48.2,0199
13,19,33.00,47,02.62905,008,16.80497,2,08,1.10,639.7,47.3,49.2,0199
13,19,34.00,47,02.62906,008,16.80500,2,08,1.10,639.7,47.3,49.6,0199
13,19,35.00,47,02.62907,008,16.80501,2,08,1.10,639.8,47.3,49.4,0199
13,19,36.00,47,02.62906,008,16.80505,2,08,1.10,639.9,47.3,48.6,0199
13,19,37.00,47,02.62907,008,16.80509,2,08,1.10,640.0,47.3,48.4,0199
13,19,38.00,47,02.62907,008,16.80513,2,08,1.10,640.1,47.3,48.2,0199
13,19,39.00,47,02.62907,008,16.80516,2,08,1.10,640.2,47.3,48.6,0199
13,19,40.00,47,02.62907,008,16.80519,2,08,1.10,640.3,47.3,48.4,0199
13,19,41.00,47,02.62907,008,16.80524,2,08,1.10,640.4,47.3,48.2,0199
13,19,42.00,47,02.62909,008,16.80527,2,08,1.10,640.4,47.3,48.6,0199
13,19,43.00,47,02.62909,008,16.80533,2,08,1.10,640.5,47.3,48.4,0199
13,19,44.00,47,02.62909,008,16.80541,2,08,1.10,640.7,47.3,48.2,0199
13,19,45.00,47,02.62910,008,16.80544,2,08,1.10,640.8,47.3,49.2,0199
13,19,46.00,47,02.62911,008,16.80548,2,08,1.10,640.9,47.3,49.6,0199
13,19,47.00,47,02.62912,008,16.80553,2,08,1.10,641.0,47.3,48.2,0199
13,19,48.00,47,02.62912,008,16.80559,2,08,1.10,641.0,47.3,48.6,0199
13,19,49.00,47,02.62912,008,16.80567,2,08,1.10,641.2,47.3,49.6,0199
13,19,50.00,47,02.62912,008,16.80575,2,08,1.10,641.3,47.3,48.2,0199
13,19,51.00,47,02.62913,008,16.80582,2,08,1.10,641.3,47.3,48.6,0199
13,19,52.00,47,02.62914,008,16.80587,2,08,1.10,641.3,47.3,48.4,0199
13,19,53.00,47,02.62915,008,16.80591,2,08,1.10,641.4,47.3,48.2,0199
13,19,54.00,47,02.62916,008,16.80595,2,08,1.10,641.4,47.3,48.6,0199
13,19,55.00,47,02.62917,008,16.80598,2,08,1.10,641.4,47.3,49.6,0199
13,19,56.00,47,02.62918,008,16.80602,2,08,1.10,641.4,47.3,48.2,0199
13,19,57.00,47,02.62919,008,16.80606,2,08,1.10,641.5,47.3,49.2,0199
13,19,58.00,47,02.62920,008,16.80610,2,08,1.10,641.5,47.3,48.4,0199
13,19,59.00,47,02.62921,008,16.80614,2,08,1.10,641.5,47.3,48.2,0199
13,20,00.00,47,02.62922,008,16.80618,2,08,1.10,641.5,47.3,49.2,0199
13,20,01.00,47,02.62923,008,16.80622,2,08,1.10,641.5,47.3,48.4,0199
13,20,02.00,47,02.62923,008,16.80625,2,08,1.10,641.6,47.3,48.2,0199
13,20,03.00,47,02.62924,008,16.80629,2,08,1.10,641.6,47.3,48.6,0199
13,20,04.00,47,02.62924,008,16.80633,2,08,1.10,641.6,47.3,48.4,0199
13,20,05.00,47,02.62924,008,16.80636,2,08,1.10,641.7,47.3,49.4,0199
13,20,06.00,47,02.62925,008,16.80640,2,08,1.10,641.7,47.3,48.6,0199
13,20,07.00,47,02.62924,008,16.80644,2,08,1.10,641.7,47.3,49.6,0199
13,20,08.00,47,02.62924,008,16.80649,2,08,1.10,641.7,47.3,48.2,0199
13,20,09.00,47,02.62924,008,16.80653,2,08,1.10,641.7,47.3,48.6,0199
13,20,10.00,47,02.62924,008,16.80657,2,08,1.10,641.8,47.3,48.4,0199
13,20,11.00,47,02.62924,008,16.80662,2,08,1.10,641.8,47.3,48.2,0199
